분류,제목,만료날짜,참여인원
육아/교육,학교폭력 가해자의 생활기록부 이력 삭제 권한을 피해자에게 주세요,2021-03-28,"2,742명"
미래,대구경북신공항 특별법을 통과시켜주세요!!,2021-03-28,640명
보건복지,강원대와 강릉원주대의 통합을 반대합니다.,2021-03-28,440명
정치개혁,택배 노동조합의 갑질,2021-03-28,"2,204명"
보건복지,“故김동희”어린이를 기억하시나요? 저는 편도수술 의료사고의 추가 피해자입니다. 더 이상 억울한 의료사고 피해자가 없도록 강력한 재발 방지 제도와 법안을 만들어 주세요.,2021-03-28,"18,761명"
교통/건축/국토,코로나백신 운송차량중 자가용화물차 유상운송행위여부를  조사해주세요,2021-03-28,262명
행정,kbs TV수신료는 누구를 위한것입니까?,2021-03-28,"1,694명"
성장동력,주식투자 실시간 스트리밍 노출 금지 청원 합니다.,2021-03-28,"1,273명"
육아/교육,교육계 적폐 청산을 위한 현직 교사의 단식 선언문,2021-03-28,"2,028명"
기타,19일 감포압바다 거룡호 침물...,2021-03-28,263명
일자리,코로나19에 울고 본사 갑질에 죽어가는 *** 지사장들을 살려주세요!!!,2021-03-28,476명
인권/성평등,미혼 외국인 연인의 입국을 인정해주세요!!,2021-03-28,485명
반려동물,제발 반려견 적정 의료수가를 만들어 주세요.,2021-03-28,899명
기타,"오빠를 낙인찍어 감당할 수 없는 고통을 가해 자살시도하게 만든 한 준정부기관의 적폐, 제발 청산시켜주십시오.",2021-03-28,430명
보건복지,뇌사자 장기이식 과정의 공정성과 투명성을 점검해주시기 바랍니다.,2021-03-28,311명
기타,"고의적인 사기로 돈 한푼 받지 못하고 경찰서에서는 기소의견, 검찰에서는 무혐의로 피해나가는 사기꾼을 처벌해 주십시요.",2021-03-28,389명
보건복지,장애 심사판정 문제점과 개선요구,2021-03-28,195명
보건복지,"방역당국은 코로나 진단 검사법 및 백신 관련하여 과학적 증거에 근거한 객관적 사실관계 자료를  실시간으로 공개하여 국민들과 공유하고, 국민의 검증을 반드시 받으실 것을 촉구합니다.",2021-03-28,872명
육아/교육,9월 학기제를 도입하여 2020학년도 교육 과정 기간을 연장할 것을 요구합니다,2021-03-28,301명
일자리,5인미만 사업장에도 근로기준법을 적용시켜주세요,2021-03-28,338명
성장동력,보이스피싱사기!!! 오늘날 심각한 사회문제!!! 정부가 특단의 대책를 늦춘다면 국가적 큰 손실로...  소 잃고 외양간 고치는 격이...,2021-03-28,380명
안전/환경,"힘의 논리 , 거대 공룡그룹 **화재와 6년간의 법정투쟁 도와주세요.!!",2021-03-28,264명
보건복지,러시아백신 ****** 도입 시급합니다,2021-03-27,586명
보건복지,국내 알츠하이머 치료제 개발 기업을 정책적으로 적극 도와주세요.,2021-03-27,"1,865명"
교통/건축/국토,임대차3법이 악마들을 양성하는 법 인가요?,2021-03-27,423명
문화/예술/체육/언론,허위사실 유포자 강력 처벌해주세요,2021-03-27,505명
기타,****  공매도,2021-03-27,983명
문화/예술/체육/언론,온라인 범죄의 진상을 밝혀주세요,2021-03-27,741명
행정,경제의 공정성을 위해 식약청의 행보를 조사해주세요!,2021-03-27,"1,128명"
보건복지,휴가 복귀 군인들의 코로나 검사 비용은 국가에서 부담 해 주시길 바랍니다.,2021-03-27,307명
교통/건축/국토,"‘반값 아파트’ 같은 허위, 과대광고로 사기치고 횡령과 배임으로 무주택자를 빚더미에 올라앉게 하는 지옥주택조합에서 제발 좀 탈퇴시켜주세요~",2021-03-27,296명
일자리,삶의터전으로 돌아가고 싶습니다,2021-03-27,931명
문화/예술/체육/언론,언론사 디스패치 기사 규제,2021-03-27,598명
보건복지,대통령님  재벌기업의 횡포를 막아 주십시오,2021-03-27,"7,648명"
보건복지,산업재해장애인단체입니다.,2021-03-27,264명
안전/환경,"원주시 **동 **화재는 예견되어 있는 사고로, 두 남매와 할머니가 화재 참사로 사망하였습니다.",2021-03-27,"1,086명"
교통/건축/국토,건설사 이익 대변하는 국토부 장관은 사퇴해라,2021-03-27,604명
인권/성평등,국민기업? XX의 직장 내 괴롭힘과 2차 가해로 생매장 당하고 사지로 내몰려 쫓겨나게 되어서 너무나 억울하고 원통합니다!,2021-03-27,242명
기타,다문화 가정이란 이유로 제 친구를 폭행한 가해자들을 엄격하게 처벌해주세요.,2021-03-27,544명
보건복지,소방공무원 백신 접종의 자유를 주세요.,2021-03-27,418명
육아/교육,졸업과 동시에 가해학생의 학폭위 기록 삭제 규정을 없애주세요,2021-03-27,"1,591명"
일자리,"고소날짜를 허위 조작한 검사, 특허심판원의 증거인멸, 특허법원의 증거 묵살, 대기업의 중소기업 기술 무단 탈취를 고발합니다.",2021-03-27,"5,178명"
문화/예술/체육/언론,누구를 위한 국민재난지원금입니까? 눈물로 호소합니다.,2021-03-27,244명
경제민주화,벼랑 끝에 서있는 (주)******* 가맹사업자입니다. 일방적,2021-03-27,223명
기타,부동산 커뮤니티 시장교란 강력처벌해주세요!!,2021-03-27,259명
교통/건축/국토,"대한민국 악의축 ‘건설노조(민주노총,한국노총등)’ 그 들의 갑질을 막아 주십시오.",2021-03-27,"37,742명"
외교/통일/국방,미얀마 군경의 민간인 대상 총격에 대하여 항의성명,2021-03-27,"1,142명"
육아/교육,대한민국 고등과정 역사교육의 개선이 필요합니다.,2021-03-27,"1,131명"
보건복지,코로나 확진자도 소중한 생명입니다. 도와주세요.,2021-03-27,159명
정치개혁,성매매 안마시술소 막아 주세요,2021-03-27,"7,245명"
저출산/고령화대책,2021년 임산부들에게도 동일한 혜택을 주세요.,2021-03-26,"1,058명"
기타,대통령님!!! 아픈 국민이 더 이상 피해보지 않는 세상을 만들어 주시길 간곡히 부탁 드립니다.,2021-03-26,"2,291명"
기타,다문화 가정이란 이유로 제 친구를 폭행한 가해자들을 엄격하게 처벌해주세요,2021-03-26,"13,639명"
반려동물,우리 강아지들.. 죽음으로부터 살려주세요 (학대 판매 유기),2021-03-26,"4,753명"
문화/예술/체육/언론,2021년 미술은행 지원 자격에 대한 제언,2021-03-26,589명
정치개혁,이게 왜 재난지원금입니까?,2021-03-26,704명
기타,3차버팀,2021-03-26,327명
육아/교육,예산부족으로 열악한 어린이집으로 만들어 버리는 현실,2021-03-26,327명
교통/건축/국토,****의 부실한 아파트하자보수 서비스,2021-03-26,181명
기타,"지금 뇌암 치료중인데 (주)**토건 ***에게 받지 못한 급여 및 퇴직금, 자동차값, 실업 손실을 받도록 도와 주십시요.",2021-03-26,498명
행정,가덕도신공항을 이순신공항으로 명명해  주시기 바랍니다.,2021-03-26,284명
인권/성평등,*** 교수와 철학연구회의 논문 심사 실태를 고발합니다,2021-03-26,"1,531명"
보건복지,코로나검사비용,2021-03-26,183명
안전/환경,"불법행위를 방조하는 공무원의 횡포, 이제는 멈춰야",2021-03-26,289명
안전/환경,소형 원전 발전과 수소발전 개발 부탁드립니다.,2021-03-26,153명
교통/건축/국토,코로나로죽은자!집주인은옷벗겨가고 법은 방조하다!!,2021-03-26,170명
교통/건축/국토,변창흠 또 틀렸다 - 실거래가 당일 신고가 아니라 등기 접수일에 실거래가 공개하십시오,2021-03-26,"1,656명"
기타,651명의 구직자를 사기친,2021-03-25,966명
일자리,*****센터장들을 회사의 갑질에서 지켜주세요!!,2021-03-25,"10,179명"
육아/교육,**대학교 **캠퍼스 한국음악과 폐과를 막아주세요.,2021-03-25,"1,441명"
교통/건축/국토,택시업계의 심각한 차별 등 불공정거래행위와 신속한 시정조치 및 엄단촉구,2021-03-25,"3,305명"
교통/건축/국토,인천공항 GTX-D 대신 공항철도 종점을 서울역에서 삼성동으로 연장해주세요,2021-03-25,377명
교통/건축/국토,"대통령님, 인천시민도 GTX-D노선 인천공항행 확정으로 보편적 교통복지를 누릴 수 있어야 합니다.",2021-03-25,"11,504명"
농산어촌,얼어죽어도 상한가없는 행정처분이행금,2021-03-25,849명
보건복지,코로나백신 접종 거부로 국민을 협박하는 대한의협을 해체하라,2021-03-25,"2,074명"
문화/예술/체육/언론,조선일보의 부수발행사기사건에대해 조선일보의폐간과언론의국가보조금폐지청원합니다,2021-03-25,"2,924명"
육아/교육,만 18세 아이들에게 1인 최저생계비에 준하는 아동수당을 지급해주세요.,2021-03-25,333명
보건복지,대한적십자사는 입찰참여업체의 이의신청 및 제안사항(2021.2.8.마감)을 받아들여 공정한 입찰을 진행하여 주시기 바랍니다.,2021-03-25,"1,203명"
보건복지,아스트라제네카 백신 대통령이하 국무총리께서 먼저 맞는 모범을 보여 주십시요.,2021-03-25,"1,112명"
인권/성평등,형제의 나라 터키인이 형제를 구했습니다,2021-03-25,275명
일자리,**** 부당해고를 고발합니다,2021-03-25,187명
인권/성평등,검찰에 고발된 하버드대 교수의 위안부 왜곡 논문을 지지하는 친일매국노들을 처벓해주세요,2021-03-25,"1,285명"
경제민주화,철강재 및 원자재 가격 조정에 관한 요청,2021-03-25,154명
외교/통일/국방,코로나 시대 군장병과 가족을 위한 '화상면회 시스템 도입' 제안,2021-03-25,223명
기타,회사과다한업무와스트래스로인해5년째뇌경색투병중,2021-03-25,532명
미래,역지사지(易地思之),2021-03-25,185명
보건복지,영암 모 노인요양원에서 노인학대를 하는데 계속 모르는 척 협받하고있습니다. 도와주요,2021-03-25,"1,039명"
정치개혁,대구 **구 공무원들의 적폐행위들,2021-03-25,"1,599명"
인권/성평등,10번째 국민청원 도와주세요 딸이 강간당하는 것을,2021-03-25,"11,632명"
보건복지,의사 면허 취소법이 국회통과되면 총파업하겠다는 의협의 협박에 절대로 굴복하지 말아주십시요,2021-03-24,"4,182명"
정치개혁,사건현장에 늦게도착해 저희부모님을 돌아가시게 만든 경찰관에 대한 엄중한 처벌과 제도의 개편을 요구합니다,2021-03-24,"4,017명"
보건복지,"코로나 검사만 13번, 17세 **이는 코로나19로 죽은 것이 아닙니다.  K방역 뒤에 가려진 의료공백으로 희생되었습니다.",2021-03-24,"7,389명"
보건복지,범죄저지른 의사 면허박탈   반대하는 의사협회 를 해산시켜주세요,2021-03-24,"13,552명"
정치개혁,의사뿐 아니라 국회의원.장관들 범법자들은 자격 박탈하게 해 주세요.,2021-03-24,"13,347명"
보건복지,헌혈 급합니다.,2021-03-24,625명
정치개혁,징벌적 손해배상제를 비롯한 언론개혁 법안을 시급히 마련해야 합니다,2021-03-24,"3,744명"
보건복지,***대학교 **병원의 두 얼굴,2021-03-24,"4,491명"
정치개혁,택배 대리점 비노조 보호법,2021-03-24,"1,578명"
보건복지,코로나 퇴치때까지 병원 인증평가를 폐지 또는 개선바랍니다.,2021-03-24,878명
행정,인천 서구 불로지구 철도 사업의 적폐,2021-03-24,"2,052명"
행정,대마불사 *****(***)의 운영개선을 청원합니다,2021-03-24,183명
교통/건축/국토,GTX B노선 연수역 정차 청원입니다,2021-03-24,419명
보건복지,암 투병 중에 코로나에 걸렸습니다,2021-03-24,554명
일자리,누구를 위한 국민취업지원제도인가요?,2021-03-24,"1,414명"
교통/건축/국토,"아파트입주자대표회의의 관리비 횡령, 관리소장과의 유착관계를 고발합니다.",2021-03-24,"1,441명"
행정,"""**연구개발특구 ***지구 조성사업"" 시행사 **도시공사는 ""***지구 주민대책위""의 보상안을 적극 수용하여 줄 것을 촉구한다!",2021-03-24,393명
일자리,기간제법 폐지해주세요,2021-03-24,759명
보건복지,"정인이 담당했던 경찰들을 아동학대 전문인력으로 선발하고, 이를 위한 예산 편성 해주세요!",2021-03-24,429명
보건복지,코로나백신 접종은 정부고위관리들이 모범을 보여줘야 합니다,2021-03-24,732명
교통/건축/국토,HUG 분양가 산정기준을 시세가 아닌 건설원가 기준으로 바꾸어 주세요,2021-03-24,441명
인권/성평등,너무 억울하여 청원합니다,2021-03-24,290명
문화/예술/체육/언론,게임 내 불법프로그램 사용자들에 대한 법적인 처벌을 요청합니다,2021-03-24,172명
보건복지,정인이를 이용해 장사하는 ********협회(전신: ****)를 수사해주세요,2021-03-24,"3,720명"
행정,요양병원 코로나 검사 주 2회,2021-03-24,226명
정치개혁,반민족행위자의 처벌을 위한 특별위원회 설치,2021-03-24,"1,497명"
인권/성평등,검찰은 가해자 편? 성폭행 피해자를 두 번 죽인 ‘검찰의 부실 수사’를 고발하며 재수사를 요구합니다.,2021-03-24,472명
일자리,노동자의 일할권리를 무시하고 채용절차법을 위반하며 갑질을 하고있는 **건설 소장의 만행을 바로잡아 주시길 바랍니다.,2021-03-24,356명
