년도,광역,기초,경찰서,시구only,연령,성별,가구수
2017,전남,광양시,전남광양경찰서,광양시,21~30세,여자,571
2017,전남,광양시,전남광양경찰서,광양시,31~40세,남자,1762
2017,전남,광양시,전남광양경찰서,광양시,31~40세,여자,551
2017,전남,광양시,전남광양경찰서,광양시,41~50세,남자,1801
2017,전남,광양시,전남광양경찰서,광양시,41~50세,여자,834
2017,전남,광양시,전남광양경찰서,광양시,51~60세,남자,1810
2017,전남,광양시,전남광양경찰서,광양시,51~60세,여자,1186
2017,전남,광양시,전남광양경찰서,광양시,61~세,남자,1476
2017,전남,광양시,전남광양경찰서,광양시,61~세,여자,3264
2017,경기,광주시,경기광주경찰서,광주시,16~20세,남자,63
2017,경기,광주시,경기광주경찰서,광주시,16~20세,여자,57
2017,경기,광주시,경기광주경찰서,광주시,21~30세,남자,1506
2017,경기,광주시,경기광주경찰서,광주시,21~30세,여자,941
2017,경기,광주시,경기광주경찰서,광주시,31~40세,남자,4247
2017,경기,광주시,경기광주경찰서,광주시,31~40세,여자,1564
2017,경기,광주시,경기광주경찰서,광주시,41~50세,남자,4001
2017,경기,광주시,경기광주경찰서,광주시,41~50세,여자,1751
2017,경기,광주시,경기광주경찰서,광주시,51~60세,남자,3306
2017,경기,광주시,경기광주경찰서,광주시,51~60세,여자,2221
2017,경기,광주시,경기광주경찰서,광주시,61~세,남자,2633
2017,경기,광주시,경기광주경찰서,광주시,61~세,여자,4323
2017,서울,광진구,서울광진경찰서,광진구,16~20세,남자,349
2017,서울,광진구,서울광진경찰서,광진구,16~20세,여자,453
2017,서울,광진구,서울광진경찰서,광진구,21~30세,남자,7527
2017,서울,광진구,서울광진경찰서,광진구,21~30세,여자,9088
2017,서울,광진구,서울광진경찰서,광진구,31~40세,남자,7239
2017,서울,광진구,서울광진경찰서,광진구,31~40세,여자,6158
2017,서울,광진구,서울광진경찰서,광진구,41~50세,남자,4554
2017,서울,광진구,서울광진경찰서,광진구,41~50세,여자,3196
2017,서울,광진구,서울광진경찰서,광진구,51~60세,남자,3755
2017,서울,광진구,서울광진경찰서,광진구,51~60세,여자,2926
2017,서울,광진구,서울광진경찰서,광진구,61~세,남자,3206
2017,서울,광진구,서울광진경찰서,광진구,61~세,여자,6415
2017,충북,괴산군,충북괴산경찰서,괴산군,16~20세,남자,74
2017,충북,괴산군,충북괴산경찰서,괴산군,16~20세,여자,32
2017,충북,괴산군,충북괴산경찰서,괴산군,21~30세,남자,416
2017,충북,괴산군,충북괴산경찰서,괴산군,21~30세,여자,201
2017,충북,괴산군,충북괴산경찰서,괴산군,31~40세,남자,217
2017,충북,괴산군,충북괴산경찰서,괴산군,31~40세,여자,77
2017,충북,괴산군,충북괴산경찰서,괴산군,41~50세,남자,382
2017,충북,괴산군,충북괴산경찰서,괴산군,41~50세,여자,150
