행정구역별(1),행정구역별(2),면적 (㎢),남자,여자,인구밀도 (명/㎢),인구증가율 (%)
경상남도,밀양시,798.64 ,52692.00 ,55206.00 ,135.10 ,-0.42 
경상남도,거제시,402.75 ,133467.00 ,120606.00 ,630.85 ,-1.21 
경상남도,양산시,485.41 ,170132.00 ,168403.00 ,697.42 ,6.78 
경상남도,의령군,482.86 ,13478.00 ,14371.00 ,57.68 ,-0.93 
경상남도,함안군,416.60 ,34433.00 ,33774.00 ,163.72 ,-1.06 
경상남도,창녕군,532.86 ,31844.00 ,32257.00 ,120.30 ,0.19 
경상남도,고성군,517.93 ,27064.00 ,26996.00 ,104.38 ,-1.18 
경상남도,남해군,357.56 ,21348.00 ,23294.00 ,124.85 ,-1.08 
경상남도,하동군,675.62 ,24083.00 ,24748.00 ,72.28 ,-1.59 
경상남도,산청군,794.81 ,17793.00 ,18547.00 ,45.72 ,0.67 
경상남도,함양군,725.43 ,19242.00 ,20933.00 ,55.38 ,-0.16 
경상남도,거창군,803.20 ,30476.00 ,32287.00 ,78.14 ,-0.86 
경상남도,합천군,983.47 ,22430.00 ,24570.00 ,47.79 ,-2.14 
제주특별자치도,제주시,978.69 ,240465.00 ,238235.00 ,489.12 ,1.71 
제주특별자치도,서귀포시,871.47 ,90358.00 ,88025.00 ,204.69 ,4.36 
